WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
512,AFG,PPPPC,Afghanistan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,050.99","1,118.87","1,113.15","1,240.38","1,306.71","1,464.72","1,512.00","1,788.40","1,908.19","2,010.83","2,317.69","2,385.71","2,516.01","2,534.92","2,400.62","2,515.55","2,449.57","2,542.64","2,456.29",n/a,n/a,n/a,n/a,n/a,n/a,n/a,2019
512,AFG,NGAP_NPGDP,Afghanistan,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,AFG,PPPSH,Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.036,0.037,0.036,0.038,0.038,0.041,0.041,0.05,0.051,0.053,0.06,0.06,0.063,0.064,0.06,0.061,0.06,0.06,0.061,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
512,AFG,PPPEX,Afghanistan,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.092,10.096,10.929,11.736,12.254,13.014,14.883,14.39,15.37,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.152,17.95,19.123,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
512,AFG,NID_NGDP,Afghanistan,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2020 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20 Start/end months of reporting year: January/December Base year: 2016. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: n/a",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27.243,30.102,35.354,37.048,29.489,55.852,30.222,36.503,30.269,26.407,25.34,23.093,17.46,18.467,19.283,18.481,18.039,18.192,16.462,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
512,AFG,NGSD_NGDP,Afghanistan,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2020 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20 Start/end months of reporting year: January/December Base year: 2016. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: n/a",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,61.151,59.718,72.57,67.274,50.333,119.243,63.99,78.09,59.699,52.981,36.204,24.538,24.009,22.176,28.312,26.058,30.197,29.897,27.619,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
512,AFG,LUR,Afghanistan,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,AFG,LE,Afghanistan,Employment,Persons,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,AFG,LP,Afghanistan,Population,Persons,Millions,Source: Source: Afghan authorities. Latest actual data: 2019 Primary domestic currency: Afghan afghani Data last updated: n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18.707,19.477,20.237,20.947,21.596,22.426,22.997,23.596,24.269,25.031,25.864,26.736,27.601,28.425,29.2,29.7,31.6,32.2,32.941,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2019
512,AFG,GGR,Afghanistan,General government revenue,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2020 Fiscal assumptions: Informed views Reporting in calendar year: Yes Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal year for the purpose of WEO publication. GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Instruments included in gross and net debt: Securities Other than Shares; Loans;. Securities are promissory note issued by the MOF. Loans are mainly loans from abroad. Primary domestic currency: Afghan afghani Data last updated: n/a",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.235,21.618,31.209,44.926,65.518,81.163,88.162,117.745,154.612,177.821,260.571,271.903,280.187,301.356,344.327,347.829,405.873,395.923,397.564,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
512,AFG,GGR_NGDP,Afghanistan,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.845,9.826,12.676,14.733,18.946,18.986,17.036,19.391,21.722,21.265,25.21,24.346,23.684,24.569,28.156,27.059,30.57,26.941,25.694,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
512,AFG,BCA,Afghanistan,Current account balance,U.S. dollars,Billions,"Source: Various sources: Central Statistical Office; ministry of finance, central bank, Directions of Trade Statistics; Afghanistan Investment Support Agency; IMF staff Latest actual data: 2020 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Afghan afghani Data last updated: n/a",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.481,1.348,1.915,1.864,1.444,5.424,3.477,5.018,4.51,4.754,2.205,0.291,1.35,0.744,1.627,1.431,2.237,2.209,2.247,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
512,AFG,BCA_NGDPD,Afghanistan,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,33.908,29.616,37.216,30.226,20.844,63.39,33.769,41.587,29.43,26.574,10.864,1.444,6.549,3.709,9.029,7.576,12.158,11.705,11.157,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
914,ALB,NGDP_R,Albania,"Gross domestic product, constant prices",National currency,Billions,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 09/2022",311.514,329.27,338.819,342.546,349.397,344.156,363.428,360.521,355.474,390.31,351.279,252.921,234.711,257.243,281.424,306.47,334.359,297.833,324.13,365.912,391.33,423.784,443.009,467.501,493.283,520.544,551.27,584.254,628.073,649.141,673.204,690.339,700.125,707.14,719.688,735.657,760.044,788.943,820.653,837.786,808.617,877.475,912.574,935.388,965.321,996.211,"1,030.08","1,065.11",2020
914,ALB,NGDP_RPCH,Albania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.684,5.7,2.9,1.1,2,-1.5,5.6,-0.8,-1.4,9.8,-10,-28,-7.2,9.6,9.4,8.9,9.1,-10.924,8.829,12.891,6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.5,3.354,3.707,2.545,1.418,1.002,1.774,2.219,3.315,3.802,4.019,2.088,-3.482,8.516,4,2.5,3.2,3.2,3.4,3.4,2020
914,ALB,NGDP,Albania,"Gross domestic product, current prices",National currency,Billions,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 09/2022",18.489,19.126,19.698,19.9,19.645,20.065,20.692,20.531,20.238,22.228,20.006,19.519,63.341,149.142,223.571,267.424,334.359,331.324,384.848,443.594,501.199,563.449,610.494,677.738,737.656,804.163,872.735,965.528,"1,080.68","1,143.94","1,239.65","1,300.62","1,332.81","1,350.05","1,395.31","1,434.31","1,472.48","1,550.65","1,636.73","1,691.90","1,644.08","1,889.84","2,059.02","2,176.66","2,287.47","2,403.26","2,530.79","2,664.39",2020
914,ALB,NGDPD,Albania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.946,2.229,2.296,2.319,2.29,2.339,2.587,2.566,2.53,2.779,2.221,1.333,0.843,1.461,2.361,2.882,3.2,2.259,2.56,3.209,3.483,3.928,4.348,5.611,7.185,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.157,15.399,15.161,18.31,18.256,18.842,19.858,21.219,22.528,23.889,2020
914,ALB,PPPGDP,Albania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.759,6.663,7.28,7.649,8.083,8.214,8.848,8.994,9.181,10.476,9.782,7.281,6.911,7.754,8.664,9.633,10.702,9.697,10.672,12.217,13.362,14.796,15.708,16.904,18.315,19.933,21.761,23.686,25.951,26.994,28.331,29.655,30.53,30.604,32.529,33.595,34.736,37.609,40.055,41.623,40.658,45.953,51.189,54.338,57.254,60.184,63.415,66.84,2020
914,ALB,NGDP_D,Albania,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",5.935,5.809,5.814,5.809,5.623,5.83,5.694,5.695,5.693,5.695,5.695,7.717,26.987,57.977,79.443,87.259,100,111.245,118.733,121.229,128.076,132.957,137.806,144.97,149.54,154.485,158.314,165.258,172.062,176.223,184.141,188.404,190.368,190.917,193.876,194.969,193.736,196.547,199.442,201.949,203.32,215.372,225.628,232.701,236.964,241.24,245.688,250.153,2020
914,ALB,NGDPRPC,Albania,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","116,584.54","120,786.15","121,689.95","120,446.72","120,297.85","116,082.04","120,235.60","116,915.40","113,124.00","120,916.02","106,884.08","77,421.84","72,284.50","79,708.68","87,738.26","96,138.99","105,541.55","94,601.80","103,604.50","117,702.98","126,683.82","138,483.63","145,200.81","153,802.80","162,964.38","172,852.94","184,214.30","196,717.32","213,100.25","221,737.48","231,101.54","237,622.40","241,389.08","244,254.87","249,104.37","255,374.21","264,262.01","273,542.43","284,678.59","290,805.66","280,984.50","305,428.18","318,371.83","327,239.88","338,749.82","350,720.75","363,876.33","377,613.26",2020
914,ALB,NGDPRPPPPC,Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","5,557.56","5,757.84","5,800.93","5,741.66","5,734.57","5,533.60","5,731.60","5,573.33","5,392.59","5,764.04","5,095.14","3,690.68","3,445.78","3,799.69","4,182.46","4,582.92","5,031.14","4,509.64","4,938.80","5,610.87","6,038.99","6,601.48","6,921.68","7,331.74","7,768.47","8,239.85","8,781.45","9,377.46","10,158.43","10,570.17","11,016.55","11,327.40","11,506.95","11,643.57","11,874.74","12,173.62","12,597.30","13,039.70","13,570.55","13,862.63","13,394.46","14,559.68","15,176.70","15,599.44","16,148.12","16,718.77","17,345.89","18,000.73",2020
914,ALB,NGDPPC,Albania,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,919.41","7,016.15","7,074.57","6,997.24","6,763.89","6,767.92","6,845.79","6,657.96","6,440.37","6,886.27","6,087.18","5,975.01","19,507.21","46,212.78","69,701.86","83,890.18","105,541.55","105,239.73","123,012.54","142,690.68","162,251.41","184,123.19","200,095.80","222,968.14","243,696.87","267,031.94","291,636.22","325,091.66","366,664.68","390,752.87","425,552.92","447,689.08","459,526.46","466,324.61","482,954.10","497,901.56","511,970.59","537,640.30","567,769.71","587,280.29","571,296.57","657,808.05","718,335.97","761,490.02","802,716.63","846,078.15","894,000.51","944,610.78",2020
914,ALB,NGDPDPC,Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,"1,009.97",717.381,818.32,"1,032.26","1,127.64","1,283.57","1,425.13","1,846.12","2,373.58","2,673.77","2,972.75","3,595.05","4,370.56","4,114.09","4,097.83","4,439.89","4,248.91","4,415.60","4,584.92","3,953.61","4,124.41","4,525.89","5,257.71","5,345.06","5,268.24","6,373.30","6,369.01","6,591.68","6,968.69","7,470.08","7,958.02","8,469.51",2020
914,ALB,PPPPC,Albania,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,155.36","2,444.30","2,614.75","2,689.39","2,783.01","2,770.39","2,927.30","2,916.87","2,921.80","3,245.53","2,976.25","2,228.77","2,128.30","2,402.52","2,701.03","3,021.70","3,377.97","3,080.04","3,411.12","3,929.91","4,325.59","4,835.02","5,148.56","5,561.21","6,050.65","6,619.06","7,271.78","7,975.19","8,805.05","9,220.65","9,725.55","10,207.74","10,526.27","10,570.98","11,259.26","11,662.00","12,077.60","13,039.70","13,894.73","14,447.70","14,128.00","15,995.17","17,858.42","19,009.87","20,091.41","21,188.00","22,401.27","23,696.80",2020
914,ALB,NGAP_NPGDP,Albania,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,ALB,PPPSH,Albania,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.043,0.045,0.046,0.045,0.044,0.042,0.043,0.041,0.039,0.041,0.035,0.025,0.021,0.022,0.024,0.025,0.026,0.022,0.024,0.026,0.026,0.028,0.028,0.029,0.029,0.029,0.029,0.029,0.031,0.032,0.031,0.031,0.03,0.029,0.03,0.03,0.03,0.031,0.031,0.031,0.031,0.031,0.032,0.032,0.032,0.032,0.032,0.032,2020
914,ALB,PPPEX,Albania,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",3.21,2.87,2.706,2.602,2.43,2.443,2.339,2.283,2.204,2.122,2.045,2.681,9.166,19.235,25.806,27.763,31.244,34.168,36.062,36.309,37.51,38.081,38.864,40.093,40.276,40.343,40.105,40.763,41.643,42.378,43.756,43.858,43.655,44.114,42.894,42.694,42.39,41.231,40.862,40.649,40.437,41.125,40.224,40.058,39.953,39.932,39.908,39.862,2020
914,ALB,NID_NGDP,Albania,Total investment,Percent of GDP,,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 09/2022",4.85,44.377,47.592,50.658,52.943,46.186,44.293,46.325,45.102,44.823,49.84,9.509,7.438,18.881,25.603,25.746,18.064,16.659,19.743,19.735,30.796,34.989,35.264,33.897,34.197,36.87,35.698,34.462,33.374,32.641,31.318,33.462,29.824,27.491,27.288,26.237,25.47,24.672,24.118,23.032,22.79,27.016,28.492,27.559,26.29,24.578,22.92,21.65,2020
914,ALB,NGSD_NGDP,Albania,Gross national savings,Percent of GDP,,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 09/2022",27.121,39.852,41.023,44.479,46.845,40.83,40.314,42.435,40.026,38.061,41.016,-8.026,9.426,23.388,21.832,21.481,16.07,10.2,16.235,17.803,23.768,28.703,25.056,26.156,28.359,27.784,29.59,23.837,17.569,16.654,20.023,20.254,19.674,16.827,13.361,15.804,16.796,17.085,17.109,14.742,14.074,16.51,14.597,15.486,15.839,15.879,16.063,16.227,2020
914,ALB,LUR,Albania,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Albanian lek Data last updated: 09/2022,5.028,4.224,2.813,3.335,4.41,5.853,5.43,5.164,6.033,6.721,8.457,8.9,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.44,15.751,15,14.4,14.1,13.8,13.4,13.1,13.8,14,14,13.4,15.9,17.5,17.1,15.2,13.7,12.3,11.47,11.675,10.6,10.3,10,10,10,10,10,2020
914,ALB,LE,Albania,Employment,Persons,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,ALB,LP,Albania,Population,Persons,Millions,Source: National Statistics Office. INSTAT Latest actual data: 2020 Primary domestic currency: Albanian lek Data last updated: 09/2022,2.672,2.726,2.784,2.844,2.904,2.965,3.023,3.084,3.142,3.228,3.287,3.267,3.247,3.227,3.208,3.188,3.168,3.148,3.129,3.109,3.089,3.06,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.884,2.883,2.881,2.878,2.873,2.866,2.858,2.85,2.84,2.831,2.821,2020
914,ALB,GGR,Albania,General government revenue,National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2020 Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Modified Cash Basis General government includes: Central Government; Local Government; Social Security Funds; Monetary Public Corporations, incl. central bank; Nonfinancial Public Corporation; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Loans; Other Accounts Receivable/Payable Primary domestic currency: Albanian lek Data last updated: 09/2022",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,60.956,103.238,125.387,130.642,145.639,154.595,167.224,184.355,204.533,226.283,252.291,290.078,298.487,320.653,330.449,330.384,323.709,366.569,379.231,407.021,430.397,449.859,460.349,425.906,510.951,560.595,593.408,623.709,655.187,689.464,724.915,2020
914,ALB,GGR_NGDP,Albania,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18.398,26.826,28.266,26.066,25.848,25.323,24.674,24.992,25.434,25.928,26.13,26.842,26.093,25.867,25.407,24.789,23.977,26.272,26.44,27.642,27.756,27.485,27.209,25.905,27.037,27.226,27.262,27.266,27.262,27.243,27.208,2020
