,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
14,BLACKPINK,KILL THIS LOVE,Kill This Love,6hvczQ05jc1yGlp9zhb95V,0.763,0.835,2,-5.234,0,0.191,0.00221,0.225,0.645,131.875,191050,4,Energetic
15,EXO,LOVE SHOT– The 5th Album Repackage,Love Shot,0yB4jrSwN0bFtFRDR5vyMj,0.689,0.678,5,-4.287,0,0.119,0.0,0.0889,0.335,145.883,200306,4,Energetic
16,aespa,Girls - The 2nd Mini Album,Girls,2WTHLEVjfefbGoW7F3dXIg,0.57,0.974,3,-0.173,0,0.325,0.000594,0.125,0.65,171.958,240440,4,Energetic
17,NMIXX,AD MARE,O.O,3lrNsPdn98i6rxO142pLT6,0.39,0.767,11,-3.918,0,0.293,4.26e-06,0.0601,0.285,200.263,172936,4,Energetic
18,ENHYPEN,BORDER : CARNIVAL,Drunk-Dazed,1wcr8DjnN59Awev8nnKpQ4,0.599,0.869,5,-5.174,0,0.0618,0.0,0.0911,0.453,132.889,193260,4,Energetic
19,ITZY,CHECKMATE,SNEAKERS,2WoluqyWzsgRmFCeHeGlnm,0.935,0.849,7,-3.047,1,0.0779,0.0,0.0223,0.551,119.986,179453,4,Energetic
20,SEVENTEEN,SEVENTEEN 9th Mini Album 'Attacca',Rock with you,6LnEoRQKMcaFTR5UvaKuBy,0.621,0.816,11,-5.242,1,0.104,0.0,0.134,0.694,163.966,180360,4,Energetic
21,TOMORROW X TOGETHER,The Chaos Chapter: FIGHT OR ESCAPE,LO$ER=LO♡ER,21aOLk12MksET8AsbU0SI6,0.644,0.867,11,-4.18,0,0.0383,0.0,0.105,0.687,124.997,199919,4,Energetic
22,BLACKPINK,THE ALBUM,Pretty Savage,1XnpzbOGptRwfJhZgLbmSr,0.701,0.556,9,-7.42,0,0.0414,0.000122,0.106,0.333,152.045,201122,4,Energetic
23,aespa,Next Level,Next Level,2zrhoHlFKxFTRF5aMyxMoQ,0.82,0.852,11,-2.567,0,0.166,5.94e-06,0.0907,0.82,109.036,221573,4,Energetic
24,LISA,LALISA,LALISA,7uQZVznj0uQOGC9KhV2Mg6,0.806,0.653,8,-6.283,1,0.0902,0.000784,0.107,0.85,150.058,200690,4,Energetic
25,ITZY,IT'z ME,WANNABE,4pspYVQGFHLPEFgQPD1J7e,0.809,0.911,6,-4.41,0,0.0617,0.000179,0.181,0.64,122.035,191242,4,Energetic
26,Stray Kids,IN LIFE,Back Door,0XuepwFJUcKN8T5zTqoP0F,0.82,0.842,7,-3.853,1,0.272,0.0,0.112,0.653,107.952,189287,4,Energetic
27,GOT the beat,Step Back,Step Back,3LCwQoTrdQgHsGJE5gGVqx,0.636,0.81,1,-2.035,1,0.101,1.04e-05,0.596,0.611,161.897,228613,4,Energetic
28,NCT DREAM,Beatbox - The 2nd Album Repackage,Beatbox,0CatzXH85XWyBqqdB6qPMB,0.857,0.7,4,-4.189,0,0.074,0.0,0.0334,0.773,93.997,205133,4,Energetic
29,ATEEZ,THE WORLD EP.1 : MOVEMENT,Guerrilla,0tYZo2UhV1lrUez5CA0Iyw,0.555,0.89,9,-5.349,1,0.132,0.0,0.0506,0.581,181.963,207922,4,Energetic
30,Kep1er,FIRST IMPACT,WA DA DA,4gdiCHNbwugojBqr5Jt3pq,0.785,0.907,10,-2.657,1,0.0938,3.11e-06,0.213,0.685,126.004,183693,4,Energetic
31,TREASURE,THE SECOND STEP : CHAPTER ONE,JIKJIN,2bnJ8IxZnVc2YmUaX0sZap,0.819,0.55,0,-6.57,1,0.0434,0.0,0.0945,0.573,130.077,184118,4,Energetic
32,MAMAMOO,reality in BLACK,HIP,24nK8tW7Pt3Inh2utttuoG,0.782,0.731,3,-4.581,0,0.143,3.15e-05,0.0956,0.824,138.032,195307,4,Energetic
33,aespa,Savage - The 1st Mini Album,Savage,3dbLT62Cvs46Ju7a8gpr36,0.727,0.879,9,-1.167,1,0.129,1.17e-05,0.244,0.671,146.959,238144,4,Energetic
34,ITZY,GUESS WHO,In the morning,1Wcr8zrKqbUX0zwN8Dbr16,0.846,0.814,6,-4.685,0,0.149,0.00094,0.13,0.722,140.055,172373,4,Energetic
35,STAYC,STEREOTYPE,STEREOTYPE,2bZIDMpzVooosmPHn0tHnd,0.605,0.805,6,-3.212,1,0.0641,0.0,0.659,0.738,148.298,191696,4,Energetic
36,ENHYPEN,DIMENSION : ANSWER,Blessed-Cursed,7ecbsiAQ6PNdiAq0hplVZo,0.604,0.886,4,-3.523,0,0.061,0.0,0.596,0.401,127.098,170805,4,Energetic
37,SMTOWN,2021 Winter SMTOWN : SMCU EXPRESS,ZOO,7eVu7FI02cTicLEgVtUvwF,0.823,0.923,9,-2.875,1,0.158,0.0,0.0571,0.629,122.922,177413,4,Energetic
38,aespa,Illusion,Illusion,5uFqjHOo3Sh0bVPCKf3DdH,0.75,0.718,2,-2.817,0,0.0468,1.75e-05,0.322,0.592,90.027,195053,4,Energetic
39,Jay Park,Worldwide,MOMMAE,1LNlfvPQmB0cqYJQQskZ8x,0.694,0.691,0,-4.791,1,0.287,0.0,0.104,0.678,93.91,204992,4,Energetic
40,ATEEZ,ZERO : FEVER Part.3,Deja Vu,3zmrdOtnOogqLllz26WLZ3,0.692,0.835,6,-4.978,0,0.0628,0.0,0.134,0.566,80.017,196670,4,Energetic
41,SEVENTEEN,SEVENTEEN 8th Mini Album 'Your Choice',Ready to love,2FymmKBuog0loCuNXMwQID,0.668,0.705,9,-5.731,0,0.0356,0.0,0.215,0.549,129.984,186760,4,Energetic
42,NCT DREAM,Hello Future - The 1st Album Repackage,Hello Future,332GJ8ykVuEt3jOT1sy7j6,0.545,0.803,1,-2.283,1,0.0526,0.0,0.114,0.5,170.006,220920,4,Energetic
43,TWICE,Twicetagram,Likey,0IEVKWduAaMcZepZQVr80T,0.723,0.903,4,-1.262,0,0.033,0.000377,0.118,0.443,132.006,207813,4,Energetic
44,STAYC,STAYDOM,ASAP,5BXr7hYZQOeRttkeWYTq5S,0.764,0.802,0,-4.217,1,0.0351,0.0,0.189,0.323,132.02,194080,4,Energetic
45,aespa,Black Mamba,Black Mamba,1t2qYCAjUAoGfeFeoBlK51,0.52,0.915,2,-2.862,1,0.103,0.000946,0.0856,0.5,90.069,174933,4,Energetic
46,ENHYPEN,DIMENSION : DILEMMA,Tamed-Dashed,1zoyteFQmeUUqyOl2Xznpy,0.568,0.809,11,-3.869,0,0.0517,3.33e-05,0.151,0.709,155.029,196170,4,Energetic
47,LOONA,[&],PTT (Paint The Town),5awNIWVrh2ISfvPd5IUZNh,0.781,0.814,8,-2.437,1,0.1,1.92e-05,0.0565,0.546,124.028,201120,4,Energetic
48,Kep1er,DOUBLAST,Up!,3XZAvh2NCDQYHgJei35VQ1,0.753,0.932,6,-2.706,1,0.119,4.31e-06,0.0326,0.918,124.006,192027,4,Energetic
49,BIGBANG,MADE,BANG BANG BANG,3dI59jLoFMjMAyUAyRZnkE,0.69,0.843,1,-2.949,1,0.0534,0.0,0.346,0.428,135.01,220178,4,Energetic
50,SEVENTEEN,SEVENTEEN 1ST ALBUM [FIRST ‘LOVE&LETTER’],Pretty U,1117juaaAkSIUsQxTmmcKM,0.642,0.931,8,-2.82,1,0.163,0.0,0.0815,0.884,155.088,207300,4,Energetic
51,HyunA&DAWN,1+1=1,PING PONG,0Z99Xe1lGBmq60RwJ5YU18,0.855,0.87,10,-2.059,0,0.0826,0.000675,0.0202,0.863,103.028,158253,4,Energetic
52,(G)I-DLE,I burn,HWAA,5FiXhM80sP4yg6tEnHkZZn,0.384,0.868,6,-3.226,0,0.0711,5.82e-06,0.0797,0.233,95.027,197320,4,Energetic
53,Jessi,NUNA,NUNU NANA,2cUzIBGMvx2BZ2Q1fzjdl1,0.743,0.689,7,-2.846,1,0.0289,0.0,0.708,0.504,104.936,195836,4,Energetic
54,Jay Park,EVERYTHING YOU WANTED,All I Wanna Do,2PcJoVkfjcbvoqBxV1Nj7y,0.613,0.668,8,-6.867,1,0.267,0.0,0.0735,0.509,96.176,209393,4,Energetic
55,IZ*ONE,BLOOM*IZ,FIESTA,6Ihdn6wW2UBhfTKWbP29KA,0.756,0.927,7,-2.116,1,0.0594,0.0,0.343,0.723,123.005,217760,4,Energetic
56,EXO,EXODUS - The 2nd Album,CALL ME BABY,6Rx0ORYPP3GH9rTvGS5Vy8,0.692,0.886,1,-2.519,1,0.0519,0.0,0.341,0.879,100.03,211013,4,Energetic
57,2NE1,I Am The Best,I Am The Best,26EM9sZnQkLLQxixGd88KE,0.819,0.844,0,-3.739,1,0.038,0.00834,0.056,0.687,127.997,208731,4,Energetic
58,ATEEZ,ZERO : FEVER Part.2,Fireworks (I'm The One),0rNLaGUleZ91DXMxmZNq5v,0.724,0.904,0,-3.815,1,0.0872,4.79e-06,0.163,0.728,130.036,209575,4,Energetic
59,Brave Girls,Rollin',Rollin',6SQUopvuZyrWYjYayxxSXl,0.691,0.859,1,-4.118,1,0.112,0.0,0.165,0.541,124.958,197747,4,Energetic
60,Jessi,Cold Blooded,Cold Blooded,34JfHOd0fcefm4FSPSrIhF,0.961,0.739,9,-6.665,1,0.224,0.0,0.0372,0.759,119.96,150053,4,Energetic
61,NCT,NCT 2018 EMPATHY,BOSS,0ErzcmZ2gIwX7X0xSMQPix,0.787,0.543,10,-6.7,0,0.037,0.0,0.0861,0.332,99.026,210641,4,Energetic
62,HyunA,I'm Not Cool,I'm Not Cool,5iIpbD34k4wnuRMZDNnuWf,0.883,0.845,11,-2.069,1,0.0585,0.00157,0.29,0.656,116.004,174173,4,Energetic
63,Billlie,the collective soul and unconscious: chapter one,GingaMingaYo (the strange world),3jHg6QE70y2FTdnsxSrCbv,0.888,0.901,10,-4.023,0,0.079,0.00955,0.357,0.65,121.997,215800,4,Energetic
64,EVERGLOW,Return of The Girl,Pirate,0Vu5tjvXZX3qtzRiezxLi1,0.683,0.685,7,-5.381,1,0.0425,0.0,0.0582,0.381,129.993,210013,4,Energetic
65,PENTAGON,Positive,Shine,7nkp1uuSbKkoxMvEs8cSw0,0.74,0.804,3,-2.187,1,0.0546,0.0,0.0578,0.791,150.013,198796,4,Energetic
66,Stray Kids,Mixtape : Time Out,Mixtape : Time Out,0OCDOcvQvozjsivREMojzx,0.555,0.945,2,-1.934,1,0.127,0.0,0.244,0.389,160.006,175293,4,Energetic
67,EXO,LOTTO - The 3rd Album Repackage,Lotto,6ukWoX4AHV76JdYVdKRPk8,0.798,0.867,11,-3.207,0,0.0386,0.0,0.193,0.702,99.996,189775,4,Energetic
68,Xdinary Heroes,Happy Death Day,Happy Death Day,3a4VCqofc7Wf7cqfZYu2Ad,0.677,0.841,9,-2.97,0,0.0813,0.0,0.16,0.418,130.024,220397,4,Energetic
69,BAEKHYUN,Delight - The 2nd Mini Album,Candy,6kKC35sKUh2FUx4M0qAL44,0.649,0.767,11,-3.838,0,0.0455,0.0,0.0929,0.608,149.918,227173,4,Energetic
70,CHUNG HA,Killing Me,Killing Me,3QD0Y1tTngihByjdWC99lG,0.722,0.851,10,-2.589,1,0.264,0.0,0.0661,0.763,122.012,164053,4,Energetic
71,NCT 127,Favorite - The 3rd Album Repackage,Favorite (Vampire),2R8MZR1RCP4cIJITHDPRbY,0.561,0.758,5,-3.87,0,0.0478,3.08e-06,0.15,0.178,149.944,215587,4,Energetic
72,Monsta X,ALL ABOUT LUV,GOT MY NUMBER,2QI91Tq1F2Tl0slIaSegs1,0.739,0.474,9,-5.803,1,0.0915,2.93e-06,0.128,0.513,96.03,171274,4,Energetic
73,(G)I-DLE,HANN (Alone),HANN (Alone),7gr57cYekMWriyJYbT7oZ4,0.709,0.718,6,-3.315,0,0.0312,0.0,0.167,0.24,104.971,205820,4,Energetic
74,Girls' Generation,The Boys,The Boys,0Me6SI6hgowLrZAKvtyVOg,0.876,0.937,1,-0.593,0,0.093,0.0,0.232,0.902,114.982,226907,4,Energetic
75,Xdinary Heroes,"Hello, world!",Test Me,3MU7mQWCeNx7m75r1107Ds,0.515,0.938,2,-2.7,1,0.26,0.0,0.114,0.654,166.026,199160,4,Energetic
76,MAMAMOO,White Wind,gogobebe,6E7jAJN2e3znSHyPCdQqx8,0.704,0.787,0,-3.114,1,0.082,0.0,0.228,0.707,96.929,195856,4,Energetic
77,Block B,BLOCKBUSTER,닐리리맘보,4fZYGHiRcKxwVSnF498uaE,0.756,0.837,2,-2.711,0,0.0524,0.0,0.0943,0.537,109.937,205280,4,Energetic
78,BIGBANG,Stand Up,Haru Haru,1L4d2lafz1odpIMe8va21X,0.687,0.914,6,-5.02,1,0.0437,0.0,0.0858,0.675,126.001,256360,4,Energetic
79,SHINee,"2009, Year Of Us - The Third Mini Album",Ring Ding Dong,4vLqN0bIxIQjlet2mIMBnx,0.835,0.934,1,-1.258,1,0.0431,0.000501,0.222,0.811,124.98,233280,4,Energetic
80,OH MY GIRL,NONSTOP,Nonstop,5joNJn9LUvYcamWwa2iYCL,0.753,0.91,0,-2.591,1,0.0517,0.0,0.367,0.825,123.983,202760,4,Energetic
81,GOT7,Just right,딱 좋아(Just right),4ER58qECydWokIsgqtysWu,0.76,0.781,11,-2.881,0,0.0641,0.0,0.106,0.736,95.97,222399,4,Energetic
82,JEON SOMI,XOXO,DUMB DUMB,5VXSt0cvi5wtJTox0wKI4x,0.852,0.749,2,-6.218,1,0.0488,0.000133,0.0695,0.386,103.06,147241,4,Energetic
83,KARA,KARA 3rd Album STEP,STEP,3YxK7NqMCWDpmrQ82Wvx25,0.618,0.975,6,-0.883,0,0.128,3.09e-06,0.423,0.761,122.939,203587,4,Energetic
84,Alesso,Going Dumb,Going Dumb (with Stray Kids),3Ea1CNsTqBY4RtAESrBeNI,0.834,0.651,6,-4.855,0,0.0595,0.0,0.146,0.49,121.978,169506,4,Energetic
85,VIVIZ,The 1st Mini Album 'Beam Of Prism',BOP BOP!,3FNuG1PjKcOu7tAqZKB4kZ,0.688,0.831,0,-2.857,1,0.0962,0.0,0.13,0.707,126.118,219933,4,Energetic
86,CHUNG HA,Flourishing,Snapping,4IOxk5ep5ONrdlL0ZIy64v,0.746,0.726,8,-3.499,0,0.0394,3.43e-06,0.278,0.578,104.961,213164,4,Energetic
87,NCT 127,Sticker - The 3rd Album,Sticker,1iGQpclvzonFNzy7Ko89V7,0.527,0.769,2,-0.419,1,0.28,0.0,0.742,0.719,156.032,227773,4,Energetic
88,P1Harmony,DISHARMONY : FIND OUT,Do It Like This,0aW4RWeGekBfU2NhREc5kL,0.838,0.838,2,-3.308,1,0.0897,0.0,0.0887,0.389,95.019,192093,4,Energetic
89,SUPER JUNIOR,"쏘리 쏘리 Sorry, Sorry - The 3rd Album","쏘리 쏘리 Sorry, Sorry",5w18nowVMRZrC5Na9Vxoth,0.706,0.972,11,-2.359,0,0.0352,2.57e-06,0.267,0.962,129.946,232333,4,Energetic
90,Stray Kids,SKZ2020,Hellevator,4iNXUjXMr6rVJxH7a7yvGq,0.506,0.829,7,-2.109,0,0.163,0.0,0.258,0.353,78.183,239133,4,Energetic
91,GD X TAEYANG,GOOD BOY,GOOD BOY,52mglSL6bdbrg9zig7nazP,0.745,0.825,1,-3.162,0,0.0352,0.000221,0.0828,0.242,94.998,245192,4,Energetic
92,OH MY GIRL,Dear OHMYGIRL,Dun Dun Dance,54HsCR7lJJdwxmEnTY1JfF,0.647,0.957,1,-0.384,0,0.0819,0.0,0.234,0.764,114.968,220560,4,Energetic
93,Girls' Generation,I GOT A BOY - The 4th Album,I GOT A BOY,2WkPfNd237yc0l5KewCDpp,0.502,0.863,4,-1.273,0,0.272,0.0,0.538,0.527,97.911,271326,4,Energetic
94,SHINee,Odd - The 4th Album,View,46E1ic6n099e76t5J1TbHn,0.728,0.801,6,-4.428,0,0.0439,0.0,0.0415,0.656,123.953,190821,4,Energetic
95,G-DRAGON,COUP D'ETAT,CROOKED,4EwNWRBWdZ6bgvxRHlZ8OO,0.665,0.919,2,-3.211,1,0.0922,0.0,0.0588,0.782,129.962,224793,4,Energetic
96,CLC,HELICOPTER,HELICOPTER,2hJS7BdEaH9Jo8MeJujsHT,0.666,0.908,5,-2.819,0,0.056,0.0,0.383,0.655,155.048,225720,4,Energetic
97,Monsta X,Fatal Love,Love Killa,4hxNs73449mNhfLIvAC9zz,0.451,0.867,4,-3.316,0,0.459,0.0,0.348,0.511,89.108,182533,4,Energetic
98,iKON,WELCOME BACK,RHYTHM TA,5T7NN5LxcfMEudEbya2wcE,0.764,0.828,7,-4.375,1,0.0967,0.0,0.332,0.583,81.989,226970,4,Energetic
99,THE BOYZ,THE BOYZ 5th MINI ALBUM [CHASE],The Stealer,2DQgD8rAJLKNptQFK70ndO,0.789,0.86,5,-4.042,0,0.0615,0.0,0.317,0.403,115.956,210938,4,Energetic
100,Harry Styles,As It Was,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.00101,0.311,0.662,173.93,167303,4,Energetic
101,The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,9.54e-05,0.0897,0.334,171.005,200040,4,Energetic
102,Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,0.791,0.862,9,-3.24,0,0.11,2.19e-05,0.0814,0.592,123.994,214847,4,Energetic
103,The Kid LAROI,STAY (with Justin Bieber),STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,1,-5.484,1,0.0483,0.0,0.103,0.478,169.928,141806,4,Energetic
104,Ed Sheeran,=,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,11,-3.745,0,0.0347,2.79e-05,0.366,0.537,126.011,230747,4,Energetic
105,Bruno Mars,Unorthodox Jukebox,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,5,-4.165,1,0.0431,0.0,0.309,0.867,143.994,233478,4,Energetic
106,Shawn Mendes,Illuminate (Deluxe),There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,0.866,0.813,11,-4.063,0,0.0554,0.0,0.0779,0.969,121.998,199440,4,Energetic
107,Avicii,The Days / Nights,The Nights,0ct6r3EGTcMLPtrXHDvVjc,0.527,0.835,6,-5.298,1,0.0433,0.0,0.249,0.654,125.983,176658,4,Energetic
108,Lil Nas X,MONTERO,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.0,0.0486,0.546,87.981,143901,4,Energetic
109,Tiësto,The Motto,The Motto,18asYwWugKjjsihZ0YvRxO,0.754,0.763,7,-4.627,0,0.0435,2.23e-05,0.0901,0.464,117.953,164819,4,Energetic
110,Maroon 5,V,Maps,4gbVRS8gloEluzf0GzDOFc,0.742,0.713,1,-5.522,0,0.0303,0.0,0.059,0.879,120.032,189960,4,Energetic
111,Coldplay,Ghost Stories,A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,0.545,0.675,6,-6.474,1,0.0279,0.00197,0.209,0.162,124.97,267867,4,Energetic
112,Avicii,True,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,0.532,0.783,2,-5.697,1,0.0523,0.0012,0.161,0.643,124.08,247427,4,Energetic
113,Ariana Grande,My Everything (Deluxe),One Last Time,7xoUc6faLbCqZO6fQEYprd,0.628,0.593,8,-5.036,1,0.0323,1.65e-06,0.096,0.104,125.026,197267,4,Energetic
114,Sean Paul,Mad Love The Prequel,No Lie,48QmG1dfvMuYLxMPt7KSRA,0.742,0.882,7,-2.862,1,0.117,0.0,0.206,0.463,102.04,221176,4,Energetic
115,Lady Gaga,The Fame Monster (Deluxe Edition),Bad Romance,0SiywuOBRcynK0uKGWdCnn,0.696,0.921,0,-3.755,1,0.0363,5.24e-05,0.0842,0.714,119.001,294573,4,Energetic
116,Sia,This Is Acting (Deluxe Version),Unstoppable,1yvMUkIOTeUNtNWlWRgANS,0.468,0.779,9,-4.839,1,0.0779,0.000373,0.101,0.26,173.799,217747,4,Energetic
117,Britney Spears,In The Zone,Toxic,6I9VzXrHxO9rA9A5euc8Ak,0.774,0.838,5,-3.914,0,0.114,0.025,0.242,0.924,143.04,198800,4,Energetic
118,Macklemore & Ryan Lewis,The Heist,Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,2,-4.457,1,0.0786,0.0,0.0862,0.847,146.078,258343,4,Energetic
119,Calvin Harris,This Is What You Came For,This Is What You Came For,0azC730Exh71aQlOt9Zj3y,0.631,0.927,9,-2.787,0,0.0332,0.119,0.148,0.465,123.962,222160,4,Energetic
120,Imagine Dragons,Evolve,Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb,0.672,0.655,10,-5.021,0,0.0311,0.0,0.117,0.556,134.945,201240,4,Energetic
121,Taylor Swift,Lover,Paper Rings,4y5bvROuBDPr5fuwXbIBZR,0.811,0.719,9,-6.553,1,0.0497,1.36e-05,0.0742,0.865,103.979,222400,4,Energetic
122,Ava Max,Heaven & Hell,Kings & Queens,7a53HqqArd4b9NF4XAmlbI,0.637,0.69,1,-4.057,0,0.0405,0.0,0.124,0.457,129.857,162399,4,Energetic
123,DNCE,DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,0.774,0.753,4,-5.446,0,0.0517,0.0,0.0371,0.896,119.002,219147,4,Energetic
124,Kesha,Animal (Expanded Edition),TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2,-2.718,0,0.142,0.0,0.289,0.714,120.028,199693,4,Energetic
125,BTS,Proof,Butter,6jjYDGxVJsWS0a5wlVF5vS,0.759,0.459,8,-5.187,1,0.0948,0.0,0.0788,0.695,109.997,164952,4,Energetic
126,Dua Lipa,Dua Lipa (Deluxe),New Rules,2ekn2ttSfGqwhhate0LSR0,0.762,0.7,9,-6.021,0,0.0694,1.56e-05,0.153,0.608,116.073,209320,4,Energetic
127,Maroon 5,V,Animals,2bL2gyO6kBdLkNSkxXNh6x,0.279,0.742,4,-6.46,0,0.0898,0.0,0.593,0.328,189.868,231013,4,Energetic
128,Taio Cruz,The Rokstarr Hits Collection,Dynamite,2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,4,-3.724,1,0.0859,0.0,0.036,0.816,119.975,202613,4,Energetic
129,Shawn Mendes,Summer Of Love,Summer of Love (Shawn Mendes & Tainy),0z8hI3OPS8ADPWtoCjjLl6,0.776,0.808,11,-4.501,1,0.117,0.000127,0.103,0.494,123.988,184104,4,Energetic
130,Spice Girls,Spice,Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,0.768,0.864,11,-6.145,1,0.0324,0.0,0.162,0.891,110.008,173027,4,Energetic
131,BTS,MAP OF THE SOUL : PERSONA,Boy With Luv (feat. Halsey),4a9tbd947vo9K8Vti9JwcI,0.645,0.862,11,-4.761,0,0.0845,0.0,0.193,0.803,119.947,229773,4,Energetic
132,Pitbull,Globalization,Time of Our Lives,2bJvI42r8EF3wxjOuDav4r,0.721,0.802,1,-5.797,1,0.0583,0.0,0.694,0.724,124.022,229360,4,Energetic
133,Taylor Swift,Fearless (Taylor's Version),You Belong With Me (Taylor’s Version),1qrpoAMXodY6895hGKoUpA,0.632,0.773,6,-4.856,1,0.0346,0.0,0.0885,0.474,130.033,231124,4,Energetic
134,Rihanna,Good Girl Gone Bad: Reloaded,Don't Stop The Music,0ByMNEPAPpOR5H69DVrTNy,0.835,0.669,6,-5.582,0,0.0643,6.92e-05,0.0535,0.542,122.668,267080,4,Energetic
135,Axwell /\ Ingrosso,More Than You Know,More Than You Know,6h5PAsRni4IRlxWr6uDPTP,0.646,0.741,5,-4.973,0,0.034,0.0,0.312,0.571,123.077,203000,4,Energetic
136,Majestic,Rasputin,Rasputin,0b18g3G5spr4ZCkz7Y6Q0Q,0.758,0.913,6,-2.926,0,0.113,6.92e-05,0.193,0.658,128.04,186210,4,Energetic
137,Bruno Mars,24K Magic,24K Magic,6b8Be6ljOzmkOmFslEb23P,0.818,0.803,1,-4.282,1,0.0797,0.0,0.153,0.632,106.97,225983,4,Energetic
138,Usher,Raymond v Raymond (Expanded Edition),DJ Got Us Fallin' In Love (feat. Pitbull),4356Typ82hUiFAynbLYbPn,0.663,0.861,7,-3.398,0,0.109,0.0,0.082,0.654,119.963,220800,4,Energetic
139,Jennifer Lopez,Love?,On The Floor,3C0nOe05EIt1390bVABLyN,0.73,0.777,3,-5.194,0,0.0496,0.000478,0.0691,0.575,130.0,284867,4,Energetic
140,Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,0.734,0.874,8,-3.158,1,0.0662,1.14e-05,0.0489,0.905,122.953,166028,4,Energetic
